Timestamp,Data
2024-11-23T17:13:44.165917,2.4213
2024-11-23T17:13:49.213809,2.5467
2024-11-23T17:13:54.261252,2.6917
2024-11-23T17:13:59.311694,2.8223
2024-11-23T17:14:04.352884,2.9405
2024-11-23T17:14:09.441912,3.0138
2024-11-23T17:14:14.494552,3.1139
2024-11-23T17:14:19.542023,3.2056
2024-11-23T17:14:24.618440,3.2563
2024-11-23T17:14:29.709695,3.3025
2024-11-23T17:14:34.759273,3.3783
2024-11-23T17:14:39.803315,3.4151
2024-11-23T17:14:44.855892,3.516
2024-11-23T17:14:49.897932,3.5428
2024-11-23T17:14:54.955273,3.501
2024-11-23T17:15:00.035894,3.5283
2024-11-23T17:15:05.104238,3.6199
2024-11-23T17:15:10.153034,3.6726
2024-11-23T17:15:15.200560,3.7219
2024-11-23T17:16:40.066952,0.0065
2024-11-23T17:16:45.141173,0.0064
2024-11-23T17:16:50.185383,0.0068
2024-11-23T17:16:55.232077,0.0074
2024-11-23T17:17:00.279670,0.0081
2024-11-23T17:17:05.328650,0.0092
2024-11-23T17:17:10.385437,0.0105
2024-11-23T17:17:15.437666,0.0123
2024-11-23T17:17:20.483745,0.0146
2024-11-23T17:17:25.528498,0.0175
2024-11-23T17:17:30.575873,0.021
2024-11-23T17:17:35.618134,0.0254
2024-11-23T17:17:40.667363,0.0309
2024-11-23T17:17:45.716637,0.0374
2024-11-23T17:17:50.771290,0.0452
2024-11-23T17:17:55.826595,0.0548
2024-11-23T17:18:00.870390,0.066
2024-11-23T17:18:05.922506,0.0792
2024-11-23T17:18:10.964903,0.0944
2024-11-23T17:18:16.011449,0.1109
2024-11-23T17:21:01.693939,0.0064
2024-11-23T17:21:06.715086,0.0065
2024-11-23T17:21:11.755598,0.0068
2024-11-23T17:21:16.800336,0.0073
2024-11-23T17:21:21.850456,0.0081
2024-11-23T17:21:26.894532,0.0092
2024-11-23T17:21:31.943332,0.0106
2024-11-23T17:21:36.991600,0.0124
2024-11-23T17:21:42.031252,0.0146
2024-11-23T17:21:47.068596,0.0174
2024-11-23T17:21:52.116945,0.0208
2024-11-23T17:21:57.160667,0.0251
2024-11-23T17:22:02.209824,0.0302
2024-11-23T17:22:07.250195,0.0366
2024-11-23T17:22:12.306720,0.0439
2024-11-23T17:22:17.349557,0.0529
2024-11-23T17:22:22.398080,0.0644
2024-11-23T17:22:27.443619,0.0768
2024-11-23T17:22:32.491938,0.0917
2024-11-23T17:22:37.539192,0.1079
2024-11-23T17:26:58.660750,0.0064
2024-11-23T17:27:03.683397,0.0065
2024-11-23T17:27:08.737930,0.0069
2024-11-23T17:27:13.783179,0.0077
2024-11-23T17:27:18.823874,0.0087
2024-11-23T17:27:23.868198,0.0101
2024-11-23T17:27:28.913252,0.0121
2024-11-23T17:27:33.962544,0.0147
2024-11-23T17:27:39.008792,0.0182
2024-11-23T17:27:44.055842,0.0228
2024-11-23T17:27:49.099204,0.0289
2024-11-23T17:27:54.148670,0.0367
2024-11-23T17:27:59.198083,0.0466
2024-11-23T17:28:04.248887,0.0593
2024-11-23T17:28:09.294591,0.0758
2024-11-23T17:28:14.348703,0.0964
2024-11-23T17:28:19.401961,0.121
2024-11-23T17:28:24.446574,0.151
2024-11-23T17:28:29.499261,0.1868
2024-11-23T17:28:34.545324,0.2293
2024-11-23T17:45:33.775474,0.0065
2024-11-23T17:45:38.793162,0.0065
2024-11-23T17:45:43.835386,0.007
2024-11-23T17:45:48.887752,0.0077
2024-11-23T17:45:53.935957,0.0087
2024-11-23T17:45:58.987256,0.0101
2024-11-23T17:46:04.049213,0.0121
2024-11-23T17:46:09.103628,0.0147
2024-11-23T17:46:14.151332,0.0181
2024-11-23T17:46:19.227221,0.0227
2024-11-23T17:46:24.276390,0.0287
2024-11-23T17:46:29.326663,0.0364
2024-11-23T17:46:34.385342,0.0463
2024-11-23T17:46:39.435274,0.0585
2024-11-23T17:46:44.476991,0.0743
2024-11-23T17:46:49.562807,0.094
2024-11-23T17:46:54.618124,0.1182
2024-11-23T17:46:59.669420,0.1476
2024-11-23T17:47:04.714185,0.1829
2024-11-23T17:47:09.761941,0.2248
2024-11-23T17:56:41.406517,0.0065
2024-11-23T17:56:46.418440,0.0065
2024-11-23T17:56:51.455838,0.0069
2024-11-23T17:56:56.493139,0.0077
2024-11-23T17:57:01.535455,0.0087
2024-11-23T17:57:06.584161,0.0102
2024-11-23T17:57:11.629784,0.0122
2024-11-23T17:57:16.679391,0.0149
2024-11-23T17:57:21.726278,0.0184
2024-11-23T17:57:26.773341,0.0231
2024-11-23T17:57:31.822412,0.0291
2024-11-23T17:57:36.870070,0.0369
2024-11-23T17:57:41.933662,0.0469
2024-11-23T17:57:46.979716,0.0597
2024-11-23T17:57:52.028382,0.0757
2024-11-23T17:57:57.073872,0.0956
2024-11-23T17:58:02.120760,0.1201
2024-11-23T17:58:07.168888,0.1499
2024-11-23T17:58:12.216329,0.1856
2024-11-23T17:58:17.259881,0.2279
2024-11-23T18:04:28.107134,0.0065
2024-11-23T18:04:33.151498,0.0065
2024-11-23T18:04:38.192185,0.0071
2024-11-23T18:04:43.229723,0.0079
2024-11-23T18:04:48.277018,0.0091
2024-11-23T18:04:53.323807,0.0108
2024-11-23T18:04:58.365903,0.0131
2024-11-23T18:05:03.412953,0.0163
2024-11-23T18:05:08.461461,0.0205
2024-11-23T18:05:13.502099,0.0259
2024-11-23T18:05:18.539292,0.0332
2024-11-23T18:05:23.588184,0.0426
2024-11-23T18:05:28.636340,0.0551
2024-11-23T18:05:33.736921,0.0709
2024-11-23T18:05:38.781828,0.0909
2024-11-23T18:05:43.837360,0.1169
2024-11-23T18:05:48.886597,0.1484
2024-11-23T18:05:53.935390,0.1871
2024-11-23T18:05:58.980879,0.2338
2024-11-23T18:06:04.023906,0.2898
2024-11-23T18:25:40.129840,0.0065
2024-11-23T18:25:45.162667,0.0065
2024-11-23T18:25:50.210065,0.007
2024-11-23T18:25:55.253613,0.0077
2024-11-23T18:26:00.305529,0.0088
2024-11-23T18:26:05.356520,0.0103
2024-11-23T18:26:10.399723,0.0123
2024-11-23T18:26:15.450449,0.0151
2024-11-23T18:26:20.501231,0.0188
2024-11-23T18:26:25.556322,0.0236
2024-11-23T18:26:30.604818,0.03
2024-11-23T18:26:35.656566,0.0385
2024-11-23T18:26:40.697433,0.0494
2024-11-23T18:26:45.745536,0.0631
2024-11-23T18:26:50.796226,0.0804
2024-11-23T18:26:55.842670,0.1019
2024-11-23T18:27:00.888768,0.1285
2024-11-23T18:27:05.934025,0.1609
2024-11-23T18:27:10.981200,0.1999
2024-11-23T18:27:16.027601,0.2481
